editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient
Hsarrazin,0.038339477480365446,0.04060162766371275,0.4136974421797328,0.0014318709732674152,0.2716320790361176
Wdwd,0.004680237217502805,0.005947099059309124,0.3530960429113791,3.2656602068613463e-06,0.9367028814359943
Monsieurbecker,0.0016669338034941497,0.002406425384850315,0.33037151739115395,2.8203411931045613e-06,0.6131221719457014
Tsuchiya Hikaru,0.0002885077736816798,0.0006174949514277334,0.3081783964326677,1.2171572609578938e-08,0.9166666666666666
Henxter,6.411283859592884e-05,0.00016417155918016534,0.2907439775374822,0.0,1.0
Mutante,0.0030774162526045843,0.004951430295981319,0.36513453530963674,1.947741734549132e-05,0.6635964912280702
Romaine,0.02987658278570284,0.028811840591054617,0.4094576548314611,0.0008355522301956541,0.2659238531644869
AVRS,0.013976598813912486,0.016444213365741214,0.39773759378298096,0.0003679695036356472,0.482421174733734
Sven Manguard,0.03452476358390768,0.033966518113630675,0.3930324402648951,0.00090847684713797,0.2651572418220791
Y-M D,9.616925789389326e-05,0.0001613426319679097,0.2862055753802115,0.0,1.0
Bzh-99,0.0036544317999679435,0.004464108163866024,0.32448597566495047,1.0947003790890188e-05,0.5865548827821767
VIGNERON,0.0812630229203398,0.050973334728588955,0.4303536414236898,0.01083645104677084,0.09473215550563617
Ash Crow,0.03779451835230005,0.04242008356514507,0.41103448424339206,0.000795795685320703,0.30599440405166245
Wschroedter,3.205641929796442e-05,7.726668153123848e-05,0.2865768080970583,0.0,0.0
Estopedist1,0.10120211572367367,0.04683585914740999,0.4345434190278265,0.027875624000122803,0.06183876094847068
B25es,0.016284661003365924,0.024498649174668086,0.39482345283244535,0.0002541122606840148,0.6605631396667132
Louis Carpon,0.0006411283859592883,0.00048719196850611525,0.30070399865327613,8.959382756502986e-05,0.2736842105263158
Zolo,0.0494630549767591,0.03264881755032692,0.418018042098059,0.0030712356653774656,0.13138705151838392
Ymblanter,0.1187369770796602,0.0540106183385738,0.44126074689536277,0.022897351864825784,0.05030361816261288
JamesA,0.00012822567719185767,8.923175657124927e-05,0.2817635544750336,1.1438548823158328e-08,0.5
Osiris,0.0005129027087674307,0.0008028844251219313,0.30983796484336695,4.222363690767664e-06,0.625
MichaelSchoenitzer,0.015451194101618848,0.01652052216557534,0.39049002469160143,0.00042266729532022416,0.3555438617679282
Sk!d,0.030870331783939733,0.03185985486730646,0.3926971241166473,0.0010269475652230865,0.2990179251861495
हिंदुस्थान वासी,0.0020516108350697227,0.0029797025705873897,0.3667224193246271,6.960614800312418e-06,0.9131944444444444
Brya,0.049174547203077415,0.04759993862541871,0.41779670959969006,0.0029975968039612777,0.2172117797843361
Bináris,0.02118929315595448,0.02796276236390976,0.39890092615687456,0.000260739087510522,0.49006555723651035
Arlo Barnes,0.014457445103381952,0.01241344725507148,0.38278427549075367,0.0013333644537042086,0.25951219512195123
ChongDae,0.011508254527969226,0.012253431258860314,0.38123868647094733,3.5157729094045014e-05,0.695740807021366
Yerpo,0.02019554415771758,0.01592838916131239,0.39064191797890324,0.0002558572945553613,0.39988391753097635
Yair rand,0.06100336592402629,0.04961197325245084,0.42276933786932286,0.0037400715994723274,0.1518129822135949
ChristianKl,0.09382913928514185,0.05286809530883553,0.4340056494598151,0.01366266398334764,0.07230440607528699
Benlisquare,0.0025965699631351176,0.002368045051130301,0.3335788141417543,4.82583619455141e-06,0.6858024691358025
Infovarius,0.08533418817118128,0.042997090933279684,0.4322733970583791,0.021449837025508782,0.06508995025398168
분당선M,0.06106747876262222,0.052332581372024824,0.4176387584032893,0.004791327844918373,0.17175720681973577
Stryn,0.08248116685366244,0.05537276353303,0.4285921551319265,0.009746962970186917,0.10339758673483881
Amgine,0.0007693540631511461,0.0009930985852941456,0.3108318176287396,1.318120941838191e-06,0.6630434782608695
Ajraddatz,0.06654912646257413,0.05308227555160919,0.4241327957661601,0.003990922437375181,0.14485270562016853
Bene*,0.046545920820644335,0.03893171679172202,0.41669355356363036,0.0026534066493112043,0.18225959868087555
Ypnypn,0.008046161243789068,0.009387872996650415,0.3487376581912872,0.00011049232689670457,0.46460557768924304
Laboramus,0.010610674787626222,0.012966787237650865,0.3933683295419081,9.484515829798792e-05,0.459104641581983
Conny,0.03712133354704279,0.03254070155669058,0.40065147514826027,0.004059755054865932,0.21041703052531485
יונה בנדלאק,0.03615964096810386,0.04227603007915145,0.41011129131570195,0.000890693294336423,0.3450980762332685
Guettarda,0.009777207885879147,0.011026731688114192,0.3732334211272858,6.988687329253728e-05,0.6122088006902502
Jdforrester,0.04484693059785222,0.04829666751311153,0.39790234479434516,0.0006359693829633768,0.2803514875227656
Carsrac,0.010995351819201795,0.007801624511050449,0.36312414695041106,0.00012061270096295134,0.5138185600054558
Kaldari,0.019362077255970507,0.018324167756384287,0.39932630127694496,0.0004945508202727646,0.28431243341789947
ברוקולי,0.0005449591280653951,0.00046972523281826325,0.2959787479342882,0.0,1.0
Hanay,0.02141368809104023,0.034550114576419336,0.39653832038786746,0.00019715105551705396,0.6517878785158319
חיים 7,0.0013143131912165412,0.0014034528882596491,0.3347615205844151,0.00024372996380427558,0.4329268292682927
MathKnight,0.0006090719666613239,0.0005804284831499048,0.3013808072276366,4.5582004783635633e-07,0.8654970760233918
Oyoyoy,0.00827055617887482,0.004670031514122334,0.326809046624522,1.3223674219158919e-05,0.8849877839109583
TZivyA,0.0005449591280653951,0.00046972523281826325,0.2959787479342882,0.0,1.0
ליאור,0.0005449591280653951,0.00046972523281826325,0.2959787479342882,0.0,1.0
Aviados,0.009392530854303574,0.008957015639071985,0.3692845542638321,2.2642050737213328e-05,0.89419795221843
אורח פורח,0.0005449591280653951,0.00046972523281826325,0.2959787479342882,0.0,1.0
Sean.hoyland,0.0005449591280653951,0.00046972523281826325,0.2959787479342882,0.0,1.0
Ezzex,0.0013143131912165412,0.001465111617907624,0.3325795640211165,8.019756841993705e-06,0.5219512195121951
Valodnieks,0.00019233851578778652,9.145960476016133e-05,0.2799286124779963,1.755315527155501e-07,0.7333333333333333
Denny,0.034268312229523964,0.03998633136140233,0.41217703481243234,0.0010567574079157684,0.3273842682614926
StevenJ81,0.03439653790671582,0.043434054783065904,0.40983742226809644,0.0003290874712372034,0.4060765603483051
Elbasyouny,9.616925789389326e-05,1.0999766643421168e-05,0.26044636509119085,0.0,1.0
François Robere,9.616925789389326e-05,1.0999766643421168e-05,0.26044636509119085,0.0,1.0
Even zohar,9.616925789389326e-05,1.0999766643421168e-05,0.26044636509119085,0.0,1.0
Bender235,0.0052251963455682005,0.006646621639122267,0.3771517317398271,0.00018371686992781522,0.6404605014011967
Remember,0.00044878987017150186,0.0006407465325240883,0.3005444696455159,1.6116079761570865e-07,0.6373626373626373
Morten Haan,0.017727199871774322,0.025270113679631962,0.39278089950312556,8.689627847421443e-05,0.612312288701942
Te750iv,0.003942939573649623,0.004726696688791666,0.35405797245362025,0.00011736776432311633,0.7914167666266827
129.13.72.197,0.0007052412245552172,0.0009503326967235631,0.3278857515553005,5.93899955881703e-05,0.5454545454545454
Restu20,0.006154832505209169,0.007229407889741093,0.3328400963701538,0.00013220647580233913,0.4838023560209424
ArnoLagrange,0.0007372976438531816,0.0011715439577507766,0.30234588569347676,2.6320021974675926e-08,0.8537549407114624
