editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient
Hsarrazin,0.0484222969900882,0.043093130943662517,0.3653066425104216,0.001436643154776284,0.2877034134632356
Wdwd,0.0063199054287532965,0.006707300662324538,0.31356193578716146,7.308343293725499e-07,0.9498488165988948
Henxter,9.09338910611985e-05,0.00018817999613516282,0.25914119165525396,0.0,1.0
Mutante,0.0040920250977539326,0.005386834084761453,0.31014173618486945,1.3629940815635732e-05,0.6681647940074906
Romaine,0.03769209784486678,0.030935569022348234,0.36013731331666465,0.000846780461237394,0.28405680553370277
AVRS,0.01777757570246431,0.01766742873868337,0.3474508613464076,0.0003752308049065908,0.4937110630205259
Sven Manguard,0.0427389287987633,0.03541836662751329,0.3573544488432174,0.0009424114219530748,0.2803888246890082
Y-M D,0.00013640083659179774,0.0001866195243710654,0.2543224619450189,0.0,1.0
Bzh-99,0.004592161498590525,0.004574725488704131,0.284833599685493,8.694569106850338e-06,0.593069306930693
VIGNERON,0.09984541238519595,0.05423411744116792,0.38500977045923446,0.011805509717995188,0.10590097547414848
Ash Crow,0.046558152223333635,0.044114067685666204,0.3627865942454921,0.0009480491709128887,0.3270062011241447
Wschroedter,4.546694553059925e-05,8.882284613888786e-05,0.254431349176387,0.0,0.0
Estopedist1,0.11762298808766027,0.048969049956275525,0.38909355117123573,0.025908171062086163,0.07186387048575019
B25es,0.020414658543239064,0.02531945032346461,0.3442805055928558,0.00019059206106728145,0.6674653993000318
Louis Carpon,0.0007729380740201873,0.0005549130699738752,0.27028521169982866,0.00012660137947999731,0.2647058823529412
Zolo,0.061107574793125397,0.03593455622698141,0.3697847488900957,0.002730931000781968,0.15232754494202744
Ymblanter,0.1400381922342457,0.05685387847032124,0.3967304764696097,0.02324777797211422,0.05979467106456389
JamesA,0.000181867782122397,0.00010212972138202283,0.24895271598995763,2.8711163870533473e-08,0.5
Osiris,0.0005001364008365918,0.000722906011319904,0.26849617345313714,2.069239932853824e-06,0.7454545454545455
MichaelSchoenitzer,0.019823588251341274,0.01789656779165909,0.33646392294407673,0.000288046016130149,0.37854054624064115
Sk!d,0.03832863508229517,0.033229661612195566,0.3575049365040327,0.0011287838875137248,0.3134377562319845
हिंदुस्थान वासी,0.002500682004182959,0.0031815431551383724,0.3108230455064744,4.583761796742653e-07,0.9414141414141414
Brya,0.060107301991452214,0.04954176192117934,0.36929069146397486,0.0029449866265825967,0.23797242496114782
Bináris,0.026689097026461762,0.028991107683061044,0.34847978696055143,0.0002714811520561713,0.4962294538667721
Arlo Barnes,0.018459579885423297,0.014042265039384296,0.3445200189598402,0.0008342245248518389,0.2925986742078696
ChongDae,0.015367827589342548,0.013545606219546612,0.32887605119335256,3.216421161804426e-05,0.7010693027584148
Yerpo,0.022915340547422024,0.016943597902068817,0.33979220121437953,0.00022591369424229056,0.43410962794660607
Yair rand,0.0731108484132036,0.051625692484901176,0.37496455860417605,0.0033468319893880526,0.17292968883027302
ChristianKl,0.11080294625807038,0.05550677695199538,0.38841960894397093,0.012072663984444405,0.08611189158923088
Benlisquare,0.003410020914794944,0.002758527193090334,0.3052901701491502,6.0360156102885324e-06,0.6828828828828829
Infovarius,0.10107301991452214,0.045774483221706644,0.3854967926462511,0.01971856831862849,0.07780859057565676
Stryn,0.10052741656815495,0.05786819952479204,0.38277782976092,0.010056895139286828,0.11457521115115496
Amgine,0.0010002728016731835,0.0010171288116632123,0.27998896591383937,1.918555303608022e-06,0.6406926406926406
Ajraddatz,0.08029462580703828,0.054900663766782556,0.3770342801788081,0.0042475307943253505,0.1604470980015977
Bene*,0.057924888605983445,0.04084092646715656,0.3681810233287868,0.002642312681086485,0.19294710451707422
Ypnypn,0.010230062744384831,0.009999130806116224,0.3100689158664414,8.761697446370597e-05,0.49194444444444446
Laboramus,0.013867418386832772,0.014374990404710027,0.3420610031104751,8.71464684349507e-05,0.47750215703192406
Conny,0.04555787942166045,0.034381155719728905,0.3635856592149214,0.0036785081377343092,0.23052396705091316
יונה בנדלאק,0.04583068109484405,0.044713064448846276,0.36126482914607033,0.0009528932559957658,0.36013973613278477
Guettarda,0.012548876966445393,0.011967877075764586,0.3342967292233164,8.064014540533073e-05,0.60866930171278
Jdforrester,0.05601527689369828,0.05030850852340647,0.3640757118724634,0.0007517863702999426,0.2941595366453206
Carsrac,0.013685550604710375,0.007607479749115734,0.3063919881951114,8.435169552236796e-05,0.5183831672203765
Kaldari,0.02477948531417659,0.02018022282875525,0.3487354131063222,0.00043673059110998385,0.3076092822450081
ברוקולי,0.0007729380740201873,0.0005434188705638404,0.26473441617277127,0.0,1.0
Hanay,0.027007365645175956,0.03601756701582142,0.3465795239283984,0.00020986892504199216,0.6705730719221444
חיים 7,0.0015004092025097753,0.0014673383625488784,0.275204381273915,2.439192262313482e-06,0.5681818181818182
MathKnight,0.0008638719650813858,0.0006718204031647099,0.2707038290417166,5.428771244734129e-07,0.8654970760233918
Oyoyoy,0.007183777393834682,0.004360321099625898,0.29819734586337576,1.3079440642553414e-05,0.8288317342578408
TZivyA,0.0007729380740201873,0.0005434188705638404,0.26473441617277127,0.0,1.0
ליאור,0.0007729380740201873,0.0005434188705638404,0.26473441617277127,0.0,1.0
Aviados,0.012639810857506593,0.010088115443285878,0.31592067233929366,1.5485254483456323e-05,0.8930472950159728
אורח פורח,0.0007729380740201873,0.0005434188705638404,0.26473441617277127,0.0,1.0
