name,username_type,acount_age,number_of_edits,total_posts,talking_type,status,rights,partition,editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient,UID,only_edits
Hsarrazin,registered,123.99142806947896,2045500,2934,1,1,10,0,Hsarrazin,0.0484222969900882,0.0430931309436625,0.3653066425104216,0.0014366431547762,0.2877034134632356,U0,2042566.0
Wdwd,registered,123.961986823062,708,12,1,1,1,1,Wdwd,0.0063199054287532,0.0067073006623245,0.3135619357871614,7.308343293725499e-07,0.9498488165988948,U1,696.0
Henxter,registered,119.58323313354218,7584,3,1,1,1,2,Henxter,9.09338910611985e-05,0.0001881799961351,0.2591411916552539,0.0,1.0,U4,7581.0
Mutante,registered,124.12330962762184,35748,71,0,1,1,2,Mutante,0.0040920250977539,0.0053868340847614,0.3101417361848694,1.3629940815635732e-05,0.6681647940074906,U5,35677.0
Romaine,registered,124.09212942999058,2730491,937,0,1,3,3,Romaine,0.0376920978448667,0.0309355690223482,0.3601373133166646,0.0008467804612373,0.2840568055337027,U6,2729554.0
Romaine,registered,124.09212942999058,2730491,937,0,1,12,3,Romaine,0.0376920978448667,0.0309355690223482,0.3601373133166646,0.0008467804612373,0.2840568055337027,U6,2729554.0
AVRS,registered,123.70067147169348,23936,252,0,1,1,3,AVRS,0.0177775757024643,0.0176674287386833,0.3474508613464076,0.0003752308049065,0.4937110630205259,U7,23684.0
Sven Manguard,registered,26.608046556587595,12553,858,0,0,1,2,Sven Manguard,0.0427389287987633,0.0354183666275132,0.3573544488432174,0.000942411421953,0.2803888246890082,U8,11695.0
Y-M D,registered,48.76361367219496,173,2,2,0,1,2,Y-M D,0.0001364008365917,0.000186619524371,0.2543224619450189,0.0,1.0,U9,171.0
Bzh-99,registered,122.74727102921727,1198,29,0,1,1,2,Bzh-99,0.0045921614985905,0.0045747254887041,0.284833599685493,8.694569106850338e-06,0.593069306930693,U10,1169.0
VIGNERON,registered,123.96176474838256,3481528,5414,0,1,10,1,VIGNERON,0.0998454123851959,0.0542341174411679,0.3850097704592344,0.0118055097179951,0.1059009754741484,U11,3476114.0
VIGNERON,registered,123.96176474838256,3481528,5414,0,1,2,1,VIGNERON,0.0998454123851959,0.0542341174411679,0.3850097704592344,0.0118055097179951,0.1059009754741484,U11,3476114.0
Ash Crow,registered,123.9317036702404,3007139,400,0,1,3,0,Ash Crow,0.0465581522233336,0.0441140676856662,0.3627865942454921,0.0009480491709128,0.3270062011241447,U12,3006739.0
Ash Crow,registered,123.9317036702404,3007139,400,0,1,12,0,Ash Crow,0.0465581522233336,0.0441140676856662,0.3627865942454921,0.0009480491709128,0.3270062011241447,U12,3006739.0
Wschroedter,registered,102.50564693320192,10,2,1,1,1,1683,Wschroedter,4.546694553059925e-05,8.882284613888786e-05,0.254431349176387,0.0,0.0,U13,8.0
Estopedist1,registered,119.80777953460144,163818,4290,0,1,3,1683,Estopedist1,0.1176229880876602,0.0489690499562755,0.3890935511712357,0.0259081710620861,0.0718638704857501,U14,159528.0
B25es,registered,123.99180681328158,115105,131,1,1,1,2,B25es,0.020414658543239,0.0253194503234646,0.3442805055928558,0.0001905920610672,0.6674653993000318,U15,114974.0
Louis Carpon,registered,35.83947042794247,5238,48,1,1,1,1683,Louis Carpon,0.0007729380740201,0.0005549130699738,0.2702852116998286,0.0001266013794799,0.2647058823529412,U16,5190.0
Zolo,registered,120.90981600504384,101246,3061,0,1,1,2,Zolo,0.0611075747931253,0.0359345562269814,0.3697847488900957,0.0027309310007819,0.1523275449420274,U17,98185.0
Ymblanter,registered,124.07599897480593,68491,7885,0,1,8,2,Ymblanter,0.1400381922342457,0.0568538784703212,0.3967304764696097,0.0232477779721142,0.0597946710645638,U18,60606.0
Ymblanter,registered,124.07599897480593,68491,7885,0,1,4,2,Ymblanter,0.1400381922342457,0.0568538784703212,0.3967304764696097,0.0232477779721142,0.0597946710645638,U18,60606.0
Ymblanter,registered,124.07599897480593,68491,7885,0,1,3,2,Ymblanter,0.1400381922342457,0.0568538784703212,0.3967304764696097,0.0232477779721142,0.0597946710645638,U18,60606.0
JamesA,registered,48.3982323768151,116,8,0,0,1,2,JamesA,0.0001818677821223,0.000102129721382,0.2489527159899576,2.871116387053348e-08,0.5,U19,108.0
Osiris,registered,40.67577096799463,8376,197,1,0,10,2,Osiris,0.0005001364008365,0.0007229060113199,0.2684961734531371,2.069239932853824e-06,0.7454545454545455,U20,8179.0
MichaelSchoenitzer,registered,122.97827394736984,46295,335,0,1,2,1,MichaelSchoenitzer,0.0198235882513412,0.017896567791659,0.3364639229440767,0.0002880460161301,0.3785405462406411,U21,45960.0
Sk!d,registered,68.25111816882695,5788,968,0,0,1,2,Sk!d,0.0383286350822951,0.0332296616121955,0.3575049365040327,0.0011287838875137,0.3134377562319845,U22,4820.0
हिंदुस्थान वासी,registered,110.96586666544982,11398,216,1,1,1,1,हिंदुस्थान वासी,0.0025006820041829,0.0031815431551383,0.3108230455064744,4.583761796742653e-07,0.9414141414141414,U23,11182.0
Brya,registered,117.88492805008543,233339,5043,0,1,1,0,Brya,0.0601073019914522,0.0495417619211793,0.3692906914639748,0.0029449866265825,0.2379724249611478,U24,228296.0
Bináris,registered,123.48794142095852,1023,174,0,1,10,2,Bináris,0.0266890970264617,0.028991107683061,0.3484797869605514,0.0002714811520561,0.4962294538667721,U25,849.0
