editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient
Hsarrazin,0.038298419226320525,0.04066175460716574,0.36067078043484035,0.001361937690347185,0.2716317571946196
Wdwd,0.0046587842179668425,0.005906152595345131,0.30908262469496106,6.111799507966972e-07,0.9409003831417625
Monsieurbecker,0.0016064773165402903,0.0023472943500729795,0.28546208158519476,1.271032031704229e-06,0.6228571428571429
Tsuchiya Hikaru,0.00025703637064644646,0.0005584091947510823,0.26239720051657683,1.720100868731492e-08,0.8928571428571429
Henxter,6.425909266161162e-05,0.0001646244075689284,0.256187341884182,0.0,1.0
Mutante,0.003020177355095746,0.00484349156618521,0.30519493265718217,9.877181872966544e-06,0.6607183710821323
Romaine,0.029784089448656983,0.028755017355240334,0.3562901636684253,0.0008086976990437079,0.26569602587132835
AVRS,0.013912093561238915,0.01635474600417737,0.3436252405971818,0.0003180657922534446,0.48124625780514924
Sven Manguard,0.03447500321295463,0.03400133632896805,0.3533181143334478,0.0009143656256370903,0.2653009417034121
Y-M D,9.638863899241742e-05,0.00016184952099820217,0.2516364933587789,0.0,1.0
Bzh-99,0.0036306387353810562,0.00442107021572426,0.2799292689285126,6.388102220360695e-06,0.584070796460177
VIGNERON,0.08125562267060789,0.050978645983989185,0.3780175912451871,0.010854235366251566,0.0944061544313808
Ash Crow,0.037687957846035215,0.04244579841423351,0.3582364884889374,0.0009246019642551015,0.3064543817230112
Wschroedter,3.212954633080581e-05,7.746737325115669e-05,0.25193883339618933,0.0,0.0
Estopedist1,0.1012723300346999,0.046804896363925895,0.3823232052276309,0.02658831448621538,0.061557083642772334
B25es,0.01625755044338774,0.02449605765661899,0.3400886707027652,0.00021165163003707582,0.6609791413924001
Louis Carpon,0.0006425909266161162,0.0004883290824792592,0.266497864406783,9.024743070959212e-05,0.2736842105263158
Zolo,0.049383112710448526,0.032588006635899,0.3643848878451365,0.00282374225396461,0.1311046275211451
Ymblanter,0.11833311913635779,0.05389976493868766,0.38909347549339096,0.02224752059963808,0.05031662572268934
JamesA,0.00012851818532322323,8.935627454191973e-05,0.2466449093451854,1.4540541856782426e-08,0.5
Osiris,0.0004498136486312813,0.000738125150900614,0.2652617271940887,2.2394226506737545e-06,0.6703296703296703
MichaelSchoenitzer,0.015357923146125175,0.0164513813741721,0.33247285738240423,0.0002922071128428315,0.3566046507548047
Sk!d,0.030747975838581156,0.03187450604636079,0.35292900555298706,0.0010292087383845883,0.3003283447663768
हिंदुस्थान वासी,0.00199203187250996,0.002864447546979396,0.3066772907252677,5.511198792033807e-07,0.9354838709677419
Brya,0.04919033543246369,0.04770690589003899,0.3644787208634657,0.0027245289348549057,0.21686197666525786
Bináris,0.02114124148567022,0.02796474000891859,0.34421718161112014,0.0002104746437495775,0.4906940916850564
Arlo Barnes,0.014458295848862613,0.012383008910084606,0.3394769026270687,0.0012567643034806862,0.2577975748577085
ChongDae,0.011470248040097674,0.012152036481130645,0.3240243502658915,2.4047625296018606e-05,0.6959840115821609
Yerpo,0.020177355095746047,0.01583951271547839,0.3344236511033611,0.00020479864532308673,0.39929804244252787
Yair rand,0.06091761984320781,0.04968052478814885,0.37000497543215194,0.003435890898716408,0.15187925141667502
ChristianKl,0.09381827528595296,0.05292090746268599,0.3816874175203375,0.012601004814932882,0.07213391713243886
Benlisquare,0.0026024932527952704,0.002374089342261977,0.3005823875736648,5.447751049330079e-06,0.6858024691358025
Infovarius,0.08533607505462022,0.042967606960277266,0.3795211134949054,0.019913641443823477,0.0647817257731491
분당선M,0.060949749389538614,0.05232534393254393,0.3648545366952548,0.005147565670843989,0.1715961689454146
Stryn,0.0824444158848477,0.055385248501710796,0.37586767266171334,0.00934062349545192,0.10308472315282013
Amgine,0.0007711091119393394,0.0009969399571481197,0.27684484999816633,1.406932422026894e-06,0.6630434782608695
Ajraddatz,0.06650816090476802,0.0531173843444927,0.3717623917577758,0.003956835694723758,0.1444988477245186
Bene*,0.046427194448014394,0.038893061228153114,0.36313061792567297,0.002574422454668108,0.18208551792885966
Ypnypn,0.008032386582701452,0.009362718909318135,0.3055023453528582,9.360448242329709e-05,0.4629718875502008
Laboramus,0.010538491196504305,0.01288212014313801,0.33697812416398826,7.13689821796311e-05,0.4595733572014619
Conny,0.03710962601208071,0.03259233717194398,0.3586904120678641,0.0037829036445476733,0.21051865523269336
יונה בנדלאק,0.036113610075825725,0.04232588632510607,0.3569490866956161,0.0009685723744746338,0.34517196249243415
Guettarda,0.00973525253823416,0.010975939122563215,0.3297361365217919,6.777130200535638e-05,0.6108670469695976
Jdforrester,0.044852846677804904,0.04843646466601453,0.35856168363776947,0.0006587013149321111,0.2804089513304783
Carsrac,0.01095617529880478,0.007704402130918681,0.30276312219892515,7.34069973852242e-05,0.5157495256166983
Kaldari,0.019341986891145097,0.01825687091275119,0.34423811090874545,0.00040424620228831173,0.2826186698802107
ברוקולי,0.0005462022876236987,0.00047083597452903593,0.2614721572745082,0.0,1.0
Hanay,0.021398277856316667,0.03463601059775415,0.34206812060172603,0.00016191093260849046,0.6524057892478945
חיים 7,0.0012530523069014265,0.0012812081516171013,0.27091441592875715,0.00020707422589936122,0.41970310391363025
MathKnight,0.0006104613802853104,0.0005819454665085547,0.2670173779219529,4.962132451464044e-07,0.8654970760233918
Oyoyoy,0.008289422953347898,0.004689515650720166,0.2934722832352052,1.4361091400460468e-05,0.8849877839109583
TZivyA,0.0005462022876236987,0.00047083597452903593,0.2614721572745082,0.0,1.0
ליאור,0.0005462022876236987,0.00047083597452903593,0.2614721572745082,0.0,1.0
Aviados,0.00934969798226449,0.00884238223970273,0.31081907571118134,1.3343782637336243e-05,0.8973101078326816
אורח פורח,0.0005462022876236987,0.00047083597452903593,0.2614721572745082,0.0,1.0
Sean.hoyland,0.0005462022876236987,0.00047083597452903593,0.2614721572745082,0.0,1.0
Ezzex,0.0012851818532322323,0.0014037965671718597,0.2811898149468983,4.403547176204463e-06,0.514102564102564
Valodnieks,0.00019277727798483485,9.174101583976307e-05,0.24496233402903977,1.8674791671878058e-07,0.7333333333333333
Denny,0.034217966842308184,0.04005786439855252,0.35853140802223843,0.0009281913461057233,0.3277136503229906
StevenJ81,0.03441074412029302,0.04355841834660437,0.3560511580453536,0.00028027359455553766,0.4058308681728143
Elbasyouny,9.638863899241742e-05,1.0851666020006164e-05,0.22286718793120985,0.0,1.0
François Robere,9.638863899241742e-05,1.0851666020006164e-05,0.22286718793120985,0.0,1.0
Even zohar,9.638863899241742e-05,1.0851666020006164e-05,0.22286718793120985,0.0,1.0
Bender235,0.005140727412928929,0.00653596555236817,0.3191354614200692,0.00015493781925568766,0.6457547169811321
