node1,node2
1,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
10,11
11,12
12,13
2,14
2,15
15,16
16,17
17,18
18,19
2,20
20,21
21,22
22,23
2,24
1,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,38
25,39
25,40
1,41
41,42
41,43
41,44
41,45
41,46
41,47
47,48
41,49
41,50
50,51
51,52
41,53
1,54
54,55
54,56
54,57
57,58
58,59
59,60
60,61
61,62
54,63
54,64
64,65
54,66
66,67
67,68
68,69
54,70
54,71
54,72
72,73
54,74
54,75
54,76
54,77
77,78
78,79
54,80
54,81
54,82
82,83
83,84
84,85
54,86
54,87
54,88
54,89
1,90
90,91
90,92
90,93
90,94
90,95
90,96
96,97
90,98
98,99
99,100
100,101
90,102
90,103
103,104
104,105
105,106
90,107
1,108
108,109
108,110
1,111
111,112
112,113
111,114
111,115
1,116
