filename,filetype,h_index,controversial,num_posts,num_words,num_users,time_frame,depth
P107_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,24,1164,12,12.0,6
P15_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,3,106,3,1.0,2
P610_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,5,141,2,8.0,4
PfD521_connections.csv,filenames_radial_trees_properties_for_deletions.txt,1,0,3,94,3,114.0,1
PfDPropertyP10089_connections.csv,filenames_radial_trees_properties_for_deletions.txt,1,0,3,43,3,0.0,1
PfDPropertyP1549_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,43,1358,32,1045.0,8
PfDPropertyP1623_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,6,100,5,7.0,3
PfDPropertyP3303_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,21,1058,12,225.0,5
PfDPropertyP3873_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,8,137,6,42.0,3
PfDPropertyP5326_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,4,68,4,31.0,2
PfDPropertyP646_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,31,1277,19,931.0,4
PfDPropertyP802_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,37,995,21,815.0,8
PfDPropertyP907_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,9,80,8,132.0,3
PfDPropertyQ87727973_connections.csv,filenames_radial_trees_properties_for_deletions.txt,1,0,2,59,2,0.0,1
PropertyP1158_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,12,178,10,252.0,3
PropertyP1646_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,8,102,8,65.0,2
PropertyP2157_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,15,599,8,164.0,4
PropertyP4420_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,11,132,9,11.0,3
PropertyP734 surname_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,6,167,6,6.0,2
PropertyP8531_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,9,337,6,66.0,3
PropertyP93_connections.csv,filenames_radial_trees_properties_for_deletions.txt,1,0,2,27,2,0.0,1
Relation with P2439_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,0,4,112,2,56.0,3
Short name Birth name Official name_connections.csv,filenames_radial_trees_properties_for_deletions.txt,2,1,17,893,8,31.0,4
ACERcod_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,6,68,6,9.0,4
a_connections.csv,filenames_radial_trees_property_proposal.txt,2,1,16,403,6,74.0,5
Catalog name_connections.csv,filenames_radial_trees_property_proposal.txt,1,0,1,219,1,0.0,1
closematc_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,5,319,2,97.0,5
Code for parishes in the Church of Sweden_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,48,3,5.0,2
current singles ranking en  aktuelle Weltranglistenplatzierung im Einzel de_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,3,49,3,231.0,2
CzechcohesionregionI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,32,4,25.0,3
DNVI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,48,2,50.0,3
Eldoblaj_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,40,4,68.0,2
geoshap_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,14,130,10,109.0,4
grammaticalnumbe_connections.csv,filenames_radial_trees_property_proposal.txt,2,1,27,1182,11,203.0,5
IFLAkeyofmusicalworkI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,7,575,5,12.0,3
IndonesianHospitalI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,16,248,7,28.0,8
introducedb_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,3,148,2,0.0,3
IrishSitesandMonumentsRecordN_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,7,92,5,8.0,4
ItalianNationalEarthquakeCenterI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,47,4,16.0,2
LibrisUR_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,10,641,6,57.0,4
Recorded at_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,6,173,3,14.0,4
Screen size en  Bildschirmgröße d_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,5,126,4,26.0,3
shearmodulu_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,4,26,4,9.0,2
TMDbi_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,11,217,8,11.0,4
Totalpowerplaygoalsincaree_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,5,621,4,41.0,4
TrueAchievementsgameI_connections.csv,filenames_radial_trees_property_proposal.txt,2,0,7,169,4,429.0,4
19830101dateofbirthvs19880000dateofbirthbothonlyhaveayearspecifie_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,3,73,3,926.0,1
Administativedivisionsandpopulatedplace_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,12,1112,9,525.0,6
DataqualityframeworkforWikidat_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,65,8627,15,121.0,12
Deuxliensallocin_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,1,62,1,0.0,1
Findagraveremovedasasourceforinformatio_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,73,4203,17,468.0,11
Guidanceneededforproperinterwikilinkag_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,0,10,432,5,526.0,4
GuidelinesforRfCproces_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,31,2294,16,30.0,7
HandlingofstoredIDsaftertheyvebeendeletedorredirectedintheexternaldatabas_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,46,5216,18,483.0,6
Howtoclassifyitemslotsofspecifictypepropertiesorafewgenericone_connections.csv,filenames_radial_trees_requests_for_comment.txt,2,1,52,4522,16,329.0,9
Interwikilinksforspecialpage_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,117,2714,27,48.0,8
Interwikilinksforsubpage_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,0,116,1486,27,52.0,6
Itemsforuserpage_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,0,9,267,5,4.0,4
makedeveloperandprogrammerpropertiescleare_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,18,769,11,1032.0,6
Merge2element_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,1,44,1,0.0,1
Mergingtwoitem_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,1,24,1,0.0,1
PropertyproposalorganisationreformtoamoreModelorinfoboxorientedproces_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,9,1015,6,263.0,4
Reviewofchangedatatypetomonolingualactionsforsomepropertie_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,0,10,437,3,494.0,4
Scripttoaddbannersonanite_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,0,13,642,4,35.0,3
Severaldatatypesforthesamepropert_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,12,913,7,111.0,6
Sortidentifier_connections.csv,filenames_radial_trees_requests_for_comment.txt,3,1,80,4660,20,214.0,10
TimeDataTypePropertie_connections.csv,filenames_radial_trees_requests_for_comment.txt,2,1,26,1913,11,63.0,5
Usepropertyorqualifierforillnessseverit_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,1,101,1,0.0,1
Wikidataandschemaorgareincompatibl_connections.csv,filenames_radial_trees_requests_for_comment.txt,1,0,1,551,1,0.0,1
